Id,Title 
0, До 25% ПЛР-тестувань можуть не виявляти коронавірус: у МОЗ назвали причину 
1, "Динамо" дізналося всіх потенційних суперників у кваліфікації Ліги чемпіонів 
2, В окупованому Криму знайшли мертвим 3-річного сина політв’язня Руслана Сулейманова 
3, МОЗ змінило протокол лікування коронавірусу: яких стосується препаратів 
4, Невдала спроба та новий витік нафтопродуктів: ситуацію з танкером "Делфі" визнано надзвичайною 
5, Кількість трагічних випадків зростає: у липні на водоймах України загинуло вже понад 180 осіб 
6, Смерть Кучапіна: священник-волонтер відмовився від своїх слів про вбивство та підтримав версію поліції 
7, В Україні до послаблення карантину не готові дев'ять областей: МОЗ оновило перелік 
8, Сльози, Бог, аборти та безкоштовна марихуана: як Каньє Вест йде в президенти США і які в нього шанси 
9, Про секс, менструацію та туалети у невагомості: відповідаємо на приземлені запитання про космос 
10, Вірменія та Азербайджан знову проливають кров на кордоні: чому країни взялися за зброю і що не поділили 
11, "Гірко шкодує": волонтер зізнався у підпалі собору святих Петра і Павла у Франції 
12, "Так сильно ніколи не міліло": в окупованому Криму висихає найбільше водосховище 
13, Ситуація на Донбасі: 15 ворожих обстрілів та підготовка підрозділів ООС до режиму припинення вогню 
14, Катування у Слов'янську: стали відомі імена бойовиків, які страчували українців 2014 року 
15, Північна Корея повідомила про перший підозрюваний випадок коронавірусу: Кім Чен Ин скликав екстрену нараду 
16, Британське МЗС презентувало новий портрет королеви, який написала відома в Англії художниця 
17, Фітнес-марафон заради краси: війну болячкам та зайвій вазі оголосили жителі села Плиски 
18, Прихильники парашутного спорту відсвяткували професійне свято новими стрибками 
19, "Мандруй Україною": які розваги може запропонувати відпочивальникам Львівська область 
20, Гучне затримання Новака і взяття заручників: ТСН підсумувала найгарячіші події тижня 
21, Біженець із Руанди зізнався в підпалі собору в французькому Нанті 
22, У США десятки міст охоплені масовими заворушеннями через поліцейського свавілля та расизму 
23, У Львівській області перекинулася маршрутка з одним пасажиром 
24, У Берліні позашляховик влетів у групу людей на тротуарі, є травмовані 
25, На митному посту "Ягодин-Дорогуськ" утворилася 10-кілометрова черга з фур 
26, Зниклу дитину політв'язня Руслана Сулейманова знайшли мертвою в Криму 
27, Екстрене засідання через коронавірус оголосили в Північній Кореї, а в Іспанії бояться другої хвилі заражень 
28, Місцями дощі і до 36°С спеки: прогноз погоди в Україні на неділю, 26 липня 
29, У Ніжині водій райради загинув від вибуху авто 
30, В Іспанії впав метеорит: уламки шукають 
31, У Києві попрощалися з волонтером Олексієм Кучапіним та озвучили його передсмертну записку 
32, "Не дай Бог нікому такого пережити": постраждалі розповіли подробиці потрійної ДТП під Києвом 
33, З гори Говерла евакуйовують групу туристів з малолітніми дітьми 
34, Прогноз погоди на 26 липня та увесь наступний тиждень: Західну Україну знову заливатимуть дощі 
35, Смертельна ДТП у Семиполках під Києвом: з'явилося відео моменту зіткнення фури з легковиком та автобусом (6 фото) 
36, Юлія Мендель в червні заробила в півтора раза більше, ніж президент 
37, Адаптивний карантин в Україні: Кабмін дав роз'яснення щодо чотирьох рівнів епідемічної небезпеки 
38, Відвідувати близьких у лікарнях можна без негативного результату ПЛР-тестування - МОЗ 
39, Липень 2020: рекомендації астрологині на 27-29 липня 
40, Місячний календар на 27-28 липня: дні, коли потрібно робити манікюр і педикюр 
41, Місячна дієта: як харчуватися 27 липня 2020 року 
42, Гороскоп хвороб для всіх знаків зодіаку на 27 липня – 2 серпня: кому на що звернути увагу 
43, У мінішортах і на яхті: Катя Осадча продемонструвала стрункі ноги 
44, Міцний горішок: Ізабель Гулар в бікіні похизувалася ідеальною дупою 
45, Вона ідеальна: тендітна Катерина Кухар в бікіні позувала перед камерою 
46, Відпочинок на рибалці: Алла Мазур у синій сукні, її син з новим кольором волосся 
47, У квітковій блузці та мінішортах: Оля Цибульська показала, як з сином провела робочий день 
48, Липень 2020: рекомендації астрологині на 27-29 липня 
49, Місячний календар на 27-28 липня: дні, коли потрібно робити манікюр і педикюр 
50, Серія А онлайн: календар і результати матчів 36-го туру Чемпіонату Італії з футболу 
51, Підсумкова турнірна таблиця АПЛ: хто зіграє в Лізі чемпіонів і Лізі Європи 
52, АПЛ на фініші: результати матчів останнього туру Чемпіонату Англії з футболу 
53, Англійські пристрасті: "Манчестер Юнайтед" вирвав у "Лестера" квиток до Ліги чемпіонів 
54, Луческу встановив світовий рекорд після приходу в "Динамо" 
55, Mercedes-Benz вивів на ринок електричний мінівен eVito Tourer: усі подробиці та ціна 
56, Експерти назвали перешкоди, які заважають розвиватися електричному автопрому в Україні 
57, Вартість "Зеленої карти" для виїзду на авто за кордон подорожчає: названі ціни 
58, Складений рейтинг топ-5 дешевих авто з надійними моторами 
59, Водіям розповіли, коли несправність габаритних вогнів не є підставою для штрафу 
